income,debts,payment_history,age,credit_cards,loan_amount,target
57454.01188473625,12656.48363766638,3,42,2,22435.233295867125,0
115071.43064099162,26485.75353746732,4,22,5,13310.716605682916,1
93199.39418114051,33415.894042501954,4,24,0,29113.39305020156,0
79865.84841970366,16533.78433717544,0,65,3,26046.297297396966,0
35601.86404424365,14999.61645043612,1,33,4,4682.755858823331,0
35599.45203362026,7206.615670123832,2,52,5,10689.633066297107,0
25808.361216819947,8467.72909430084,2,42,2,9950.075887827703,0
106617.61457749351,40177.44777363418,4,45,3,12931.747915295677,0
80111.50117432087,12918.309239350605,3,47,4,32373.62725974225,1
90807.25777960455,22015.301709810232,2,37,1,30018.209866691035,0
22058.449429580243,6811.026250465447,0,26,5,9557.725037763474,0
116990.98521619943,38427.927598061244,1,63,1,21903.640616410707,0
103244.26408004218,29146.318731387193,5,36,3,44736.71772954377,0
41233.91106782762,12893.881784615773,3,28,0,5683.038644649092,0
38182.49672071006,7050.998959806948,5,53,0,9985.940096160608,1
38340.450985343385,4828.872011561149,5,30,3,6893.379847243231,1
50424.22429595377,3288.3638085319485,3,54,0,22711.49080374063,1
72475.64316322378,12994.133374775443,4,39,0,27683.371142311426,1
63194.501864211576,16044.235844352695,1,34,1,6960.5401360465,0
49122.914019804186,18507.694595876586,4,23,0,5099.417393582174,1
81185.28947223796,23895.125203873704,2,61,0,17576.590960690937,0
33949.386065204184,7013.57268351748,5,43,3,5340.688111854693,1
49214.464853521815,23424.797704568584,0,60,0,17329.48550851366,0
56636.18432936917,17130.281188652338,4,31,5,20701.588634794014,0
65606.9984217036,28319.63209141503,0,67,2,31280.128422103808,0
98517.59613930136,23878.463849135558,5,26,2,47368.83353188937,0
39967.378215835975,10181.220796113746,2,54,3,14530.487353721,1
71423.44384136115,9355.724243431057,4,21,2,7304.478825787647,1
79241.45688620425,27369.186085260746,3,55,1,19303.152859855723,1
24645.041271999773,5639.753899895308,3,45,5,7523.061636142096,1
80754.48519014384,12622.077333549501,4,49,5,24199.850220687393,1
37052.41236872916,13682.244527647486,5,43,3,12647.33155812297,1
26505.15929852795,10950.404032247297,0,38,0,12834.343956323759,0
114888.55372533333,34370.006027673284,5,34,2,52168.25863131819,0
116563.20330745593,15907.121706002297,4,37,1,16734.188028707384,1
100839.7348116461,20168.338103952206,5,22,3,20812.53033444766,1
50461.37691733707,17891.876775333087,3,51,3,21862.077022051853,0
29767.211400638385,13050.026318146221,3,39,0,12791.648345595073,0
88423.3026512157,29753.56475681559,5,52,4,18582.005817239544,1
64015.24937396013,24370.665684720207,3,48,2,25109.034926996963,1
32203.82348447788,14811.119229179258,3,61,1,11877.251596128224,1
69517.69101112703,18576.915932738313,0,28,3,20119.08617437091,0
23438.85211152184,3871.7092071281595,1,62,2,4232.634348343144,0
110932.0402078782,34222.1526406495,4,61,1,50524.804450147654,0
45877.99816000169,16124.157212096936,4,60,5,17027.181970553745,0
86252.2284353982,25596.875931899154,4,59,5,14455.629387770085,1
51171.10760894109,12491.234819105546,1,42,1,19543.317413248387,0
72006.80211778107,16928.46033362638,3,44,5,28555.988663390097,0
74671.02793432795,16259.91284795571,3,58,3,33956.80781130399,1
38485.4455525527,13845.402032285318,3,22,2,7278.9717650892235,0
116958.46277645585,17984.531004551107,5,61,1,57953.110370870316,1
97513.28233611146,34657.01662645244,4,61,3,15734.48668135919,0
113949.89415641892,17625.573528433335,0,39,2,38774.36367497632,0
109482.73504276488,10779.194748967315,5,61,2,39728.06598555105,1
79789.99788110852,18796.99464681062,3,22,3,21350.300038329766,1
112187.42350231168,33843.855440800144,4,48,2,32536.044995587632,0
28849.25020519195,8100.3126441227,1,52,4,13165.760336786678,0
39598.286241914524,9691.51442603943,4,39,1,14180.530084520995,1
24522.728891053805,8650.739196970486,2,36,1,7327.400792058646,0
52533.033076326436,10590.41707126247,3,50,2,7950.340031093596,0
58867.7289689482,23454.70810793199,0,42,3,6059.552630059303,0
47134.90317738959,17766.558006512863,1,34,0,7069.643804458497,0
102873.75091519294,26147.969071292402,0,21,5,49633.8923009311,0
55675.332669358926,10322.84136584674,2,65,2,22583.847599456934,0
48093.45096873808,15553.276721350727,1,22,0,23414.129768145864,0
74269.60831582485,7936.959811342562,4,42,2,8487.789584978253,1
34092.42249747626,10775.776353943013,0,66,0,12685.386809648691,0
100219.69807540397,20568.939525372287,4,53,2,11797.603344678591,1
27455.06436797708,12736.317892575,1,35,3,11334.07071367227,0
118688.69366005174,10903.325978458251,5,61,5,29954.660706609684,1
97224.47692966575,28354.43560920356,5,42,0,13446.742510700591,1
39871.56815341724,16366.429564571528,2,60,4,13046.720972282008,0
20552.21171236024,7694.445323022897,4,59,3,4358.057005419905,0
